id,timestamp,sensor,t,h
36208,2024-11-29 00:59:09.039385+00,secado-d4,24.9,43
36495,2024-11-29 01:08:45.574923+00,flora-d4-interno,22.7,39.7
36643,2024-11-29 01:22:43.19606+00,secado-d4,24.9,43
28972,2024-11-28 19:20:05.192988+00,secado-d4,24.9,41
29442,2024-11-28 19:39:28.584018+00,secado-d4,24.9,41
29729,2024-11-28 19:49:04.238078+00,secado-d4,24.8,41
30016,2024-11-28 20:01:57.377941+00,flora-d22-esquina,23.9,62.9
30199,2024-11-28 20:11:22.898773+00,flora-d22-esquina,23.8,63.6
30486,2024-11-28 20:25:54.346664+00,flora-d22-esquina,24.8,49.9
30773,2024-11-28 20:39:45.298212+00,flora-d22-esquina,24.9,48.7
31060,2024-11-28 20:54:11.116457+00,flora-d22-esquina,25,48.9
31347,2024-11-28 21:08:36.94495+00,flora-d22-esquina,25,49.3
31634,2024-11-28 21:23:08.023417+00,flora-d4-interno,25,43.2
31741,2024-11-28 21:28:49.055678+00,flora-d22-esquina,25.1,47.7
32028,2024-11-28 21:42:45.737165+00,flora-d22-esquina,25.1,47.6
32315,2024-11-28 21:57:16.764932+00,flora-d4-interno,22.8,49.8
32602,2024-11-28 22:11:48.789163+00,flora-d22-esquina,24.4,57.1
32889,2024-11-28 22:26:25.842357+00,flora-d22-esquina,24.8,48.2
33176,2024-11-28 22:40:51.841846+00,flora-d22-esquina,25.3,47.9
33463,2024-11-28 22:55:23.34992+00,flora-d22-esquina,25.4,47.5
33585,2024-11-28 23:01:50.454545+00,flora-d22-esquina,25.3,47.1
33872,2024-11-28 23:15:41.560322+00,flora-d22-esquina,25.3,46.6
34159,2024-11-28 23:30:12.430415+00,flora-d4-interno,24.6,42.4
34446,2024-11-28 23:44:38.549049+00,flora-d22-esquina,25,46.6
34733,2024-11-28 23:58:06.408839+00,flora-d4-interno,23.3,51.5
35020,2024-11-29 00:12:32.236913+00,flora-d22-esquina,23.9,59.4
35307,2024-11-29 00:25:19.618807+00,flora-d4-interno,23.2,41.1
35594,2024-11-29 00:35:37.674495+00,flora-d22-esquina,23.3,43.7
35880,2024-11-29 00:47:34.130206+00,flora-d4-interno,23,39.7
